id;phone;email;address
1;+7 (900) 000 00 01;harmon_gunnar40@gmail.com;(43.989468, 56.324372)
2;+7 (900) 000 00 02;mueller_lynwood67@yahoo.com;(43.988478, 56.321042)
3;+7 (900) 000 00 03;rowe-sage62@yahoo.com;(43.985302, 56.324338)
4;+7 (900) 000 00 04;bethany-mallory1@mail.com;(43.998588, 56.323046)
5;+7 (900) 000 00 05;cody_bruno80@mail.com;(44.00476, 56.324513)
6;+7 (900) 000 00 06;hollis_regina4@yahoo.com;(44.010361, 56.321565)
7;+7 (900) 000 00 07;fagan_elisha82@mail.com;(44.009016, 56.327306)
8;+7 (900) 000 00 08;kidd_tim91@gmail.com;(44.025893, 56.323998)
9;+7 (900) 000 00 09;robbins_moses58@mail.com;(44.031465, 56.322231)
10;+7 (900) 000 00 10;major-miner64@mail.com;(44.027018, 56.326401)
