id;password;role;account
3781f1fd-ef8c-4c2b-9298-841e085be386;password;COURIER;6b77967b-c8d2-493a-bcab-482c354b1cc4
9f4cf3f4-0a86-4492-9a32-1f955cf21911;password;COURIER;0037f6ff-ff26-4721-b522-5ae5f91a6448
c42e25a5-b0b2-41f4-84a2-3416882bdf42;password;COURIER;0de17615-17a6-4f21-97c4-b644a0516c0d
b20bb128-f6d9-4f93-a4ea-1fda227edc2d;password;COURIER;7e40cf44-b62b-4d71-9de0-f20d31335285
59fac4d4-96f3-4564-9716-ec1b300cb933;password;COURIER;8b911214-49e3-4a67-8b2c-10977d9a8e7c
979721a7-2abd-4769-85e6-0913aee46625;password;CUSTOMER;62dcd09a-7c76-4c82-8443-a9a0021171d5
e57b775b-bc12-4d5c-9f06-f0e9eb1dfa5a;password;CUSTOMER;fb1e540b-f474-4a14-b8bb-a0963f9d0375
91cd47c1-f464-453d-b2b8-6449dc8660dc;password;CUSTOMER;b97965a8-0478-42ff-99bd-b520163567b7
3ebd6ec8-8f67-4a15-9efb-5623d986ad82;password;CUSTOMER;61738917-dd90-4c9d-b0e5-adc78cfb09c3
d10f3cf0-4bc9-4570-b3c9-38d57c58f3bd;password;CUSTOMER;0910b882-8d72-49ce-b24b-15a33d695476
20f95c41-09f1-480f-a383-134017fccf6c;password;RESTAURANT;20ca9dda-e6bb-40e7-96c6-51051a4f9bb0
20480d81-4cd5-4fa0-b1a1-36076779073a;password;RESTAURANT;36c7c5ea-d024-4071-91fb-250cd3c52e0a
1f6ed5ba-529d-43e2-b879-4a21a4d93e45;password;RESTAURANT;31d5a3f2-edb5-421a-b1d0-b1d739f7875c
